ncbi	sample	group	mapped	coverage
NZ_QRIJ01000001.1	high_10M	came_from_donor	34	NA
NZ_QRIJ01000001.1	high_10M	came_itself	3124	4.96342262709029
NZ_QRIJ01000001.1	high_1M	came_from_before	15	0.202657513894316
NZ_QRIJ01000001.1	high_1M	came_itself	2222	0.202657513894316
NZ_QRIJ01000001.1	high_25M	came_from_before	14894	2.08322393217227
NZ_QRIJ01000001.1	high_25M	came_from_both	1221	NA
NZ_QRIJ01000001.1	high_25M	came_from_donor	2	NA
NZ_QRIJ01000001.1	high_25M	came_itself	74	2.08322393217227
NZ_QRIJ01000001.1	high_50M	came_from_before	27383	7.51044104428292
NZ_QRIJ01000001.1	high_50M	came_from_both	29210	NA
NZ_QRIJ01000001.1	high_50M	came_itself	NA	7.51044104428292
NZ_QRIJ01000001.1	high_5M	came_from_before	3115	1.2224882250058
NZ_QRIJ01000001.1	high_5M	came_from_both	95	NA
NZ_QRIJ01000001.1	high_5M	came_itself	4205	1.2224882250058
NZ_QRIL01000001.1	high_10M	came_from_before	1069	NA
NZ_QRIL01000001.1	high_10M	came_from_both	5814	NA
NZ_QRIL01000001.1	high_10M	came_from_donor	294	5.11226586427786
NZ_QRIL01000001.1	high_10M	came_itself	2438	NA
NZ_QRIL01000001.1	high_1M	came_from_before	40	NA
NZ_QRIL01000001.1	high_1M	came_from_both	24	NA
NZ_QRIL01000001.1	high_1M	came_from_donor	6	0.129240273427646
NZ_QRIL01000001.1	high_1M	came_itself	830	NA
NZ_QRIL01000001.1	high_25M	came_from_before	255	NA
NZ_QRIL01000001.1	high_25M	came_from_both	83040	NA
NZ_QRIL01000001.1	high_25M	came_from_donor	3397	12.017256274644
NZ_QRIL01000001.1	high_25M	came_itself	1094	NA
NZ_QRIL01000001.1	high_50M	came_from_before	4	NA
NZ_QRIL01000001.1	high_50M	came_from_both	119521	NA
NZ_QRIL01000001.1	high_50M	came_from_donor	7437	10.0147774174213
NZ_QRIL01000001.1	high_50M	came_itself	6	NA
NZ_QRIL01000001.1	high_5M	came_from_before	527	NA
NZ_QRIL01000001.1	high_5M	came_from_both	2087	NA
NZ_QRIL01000001.1	high_5M	came_from_donor	187	4.00929727621735
NZ_QRIL01000001.1	high_5M	came_itself	4261	NA
NZ_QRIM01000001.1	high_10M	came_from_before	711	1.44092090413419
NZ_QRIM01000001.1	high_10M	came_from_both	1679	NA
NZ_QRIM01000001.1	high_10M	came_from_donor	16	NA
NZ_QRIM01000001.1	high_10M	came_itself	3555	1.44092090413419
NZ_QRIM01000001.1	high_1M	came_from_before	3	0.246616062071109
NZ_QRIM01000001.1	high_1M	came_from_both	17	NA
NZ_QRIM01000001.1	high_1M	came_from_donor	2	NA
NZ_QRIM01000001.1	high_1M	came_itself	4276	0.246616062071109
NZ_QRIM01000001.1	high_25M	came_from_before	1502	0.342109307722775
NZ_QRIM01000001.1	high_25M	came_from_both	5163	NA
NZ_QRIM01000001.1	high_25M	came_itself	NA	0.342109307722775
NZ_QRIM01000001.1	high_50M	came_from_before	3135	0.800969656057843
NZ_QRIM01000001.1	high_50M	came_from_both	12233	NA
NZ_QRIM01000001.1	high_50M	came_itself	NA	0.800969656057843
NZ_QRIM01000001.1	high_5M	came_from_before	15	0.179936790460402
NZ_QRIM01000001.1	high_5M	came_from_both	471	NA
NZ_QRIM01000001.1	high_5M	came_from_donor	16	NA
NZ_QRIM01000001.1	high_5M	came_itself	1092	0.179936790460402
NZ_QRIQ01000001.1	high_10M	came_from_before	2	NA
NZ_QRIQ01000001.1	high_10M	came_from_both	33403	NA
NZ_QRIQ01000001.1	high_10M	came_from_donor	1813	0.734446804357228
NZ_QRIQ01000001.1	high_10M	came_itself	113	NA
NZ_QRIQ01000001.1	high_1M	came_from_before	3	NA
NZ_QRIQ01000001.1	high_1M	came_from_both	60	NA
NZ_QRIQ01000001.1	high_1M	came_from_donor	147	0.562653585937865
NZ_QRIQ01000001.1	high_1M	came_itself	1193	NA
NZ_QRIQ01000001.1	high_25M	came_from_both	82174	NA
NZ_QRIQ01000001.1	high_25M	came_from_donor	2707	4.57449059232942
NZ_QRIQ01000001.1	high_25M	came_itself	17	NA
NZ_QRIQ01000001.1	high_50M	came_from_before	121	NA
NZ_QRIQ01000001.1	high_50M	came_from_both	247907	NA
NZ_QRIQ01000001.1	high_50M	came_from_donor	3586	5.72538525027697
NZ_QRIQ01000001.1	high_50M	came_itself	486	NA
NZ_QRIQ01000001.1	high_5M	came_from_before	65	NA
NZ_QRIQ01000001.1	high_5M	came_from_both	7741	NA
NZ_QRIQ01000001.1	high_5M	came_from_donor	1403	4.54660766212173
NZ_QRIQ01000001.1	high_5M	came_itself	2130	NA
NZ_QRIT01000001.1	high_10M	came_from_before	33	4.59488426837219
NZ_QRIT01000001.1	high_10M	came_from_both	47871	4.59488426837219
NZ_QRIT01000001.1	high_10M	came_from_donor	1853	4.59488426837219
NZ_QRIT01000001.1	high_10M	came_itself	331	NA
NZ_QRIT01000001.1	high_1M	came_from_before	6	0.155446559396118
NZ_QRIT01000001.1	high_1M	came_from_both	140	0.155446559396118
NZ_QRIT01000001.1	high_1M	came_from_donor	49	0.155446559396118
NZ_QRIT01000001.1	high_1M	came_itself	408	NA
NZ_QRIT01000001.1	high_25M	came_from_before	20	2.83280290774749
NZ_QRIT01000001.1	high_25M	came_from_both	108683	2.83280290774749
NZ_QRIT01000001.1	high_25M	came_from_donor	NA	2.83280290774749
NZ_QRIT01000001.1	high_50M	came_from_before	1337	3.38630287265385
NZ_QRIT01000001.1	high_50M	came_from_both	372101	3.38630287265385
NZ_QRIT01000001.1	high_50M	came_from_donor	29	3.38630287265385
NZ_QRIT01000001.1	high_50M	came_itself	45	NA
NZ_QRIT01000001.1	high_5M	came_from_before	NA	2.05713054079714
NZ_QRIT01000001.1	high_5M	came_from_both	17371	2.05713054079714
NZ_QRIT01000001.1	high_5M	came_from_donor	428	2.05713054079714
NZ_QRIT01000001.1	high_5M	came_itself	29	NA
NZ_QRIV01000001.1	high_10M	came_from_before	271	6.4824115876174
NZ_QRIV01000001.1	high_10M	came_from_both	16929	NA
NZ_QRIV01000001.1	high_10M	came_from_donor	117	NA
NZ_QRIV01000001.1	high_10M	came_itself	3418	6.4824115876174
NZ_QRIV01000001.1	high_1M	came_from_before	4	0.0240769425595879
NZ_QRIV01000001.1	high_1M	came_from_both	4	NA
NZ_QRIV01000001.1	high_1M	came_from_donor	14	NA
NZ_QRIV01000001.1	high_1M	came_itself	90	0.0240769425595879
NZ_QRIV01000001.1	high_25M	came_from_before	1209	0.777184159966572
NZ_QRIV01000001.1	high_25M	came_from_both	38254	NA
NZ_QRIV01000001.1	high_25M	came_itself	NA	0.777184159966572
NZ_QRIV01000001.1	high_50M	came_from_before	26853	39.8916580452292
NZ_QRIV01000001.1	high_50M	came_from_both	152108	NA
NZ_QRIV01000001.1	high_50M	came_itself	NA	39.8916580452292
NZ_QRIV01000001.1	high_5M	came_from_before	158	1.28681424151258
NZ_QRIV01000001.1	high_5M	came_from_both	6362	NA
NZ_QRIV01000001.1	high_5M	came_from_donor	8	NA
NZ_QRIV01000001.1	high_5M	came_itself	175	1.28681424151258
NZ_QRIV01000001.1	low_10M	came_from_before	83060	NA
NZ_QRIV01000001.1	low_10M	came_from_both	37	NA
NZ_QRIV01000001.1	low_10M	came_itself	88882	28.6673197023596
NZ_QRIV01000001.1	low_1M	came_from_before	85	NA
NZ_QRIV01000001.1	low_1M	came_from_donor	1	NA
NZ_QRIV01000001.1	low_1M	came_itself	20605	2.38829737664389
NZ_QRIV01000001.1	low_25M	came_from_before	175562	NA
NZ_QRIV01000001.1	low_25M	came_from_both	144	NA
NZ_QRIV01000001.1	low_25M	came_itself	102044	32.9511755282816
NZ_QRIV01000001.1	low_50M	came_from_before	207154	NA
NZ_QRIV01000001.1	low_50M	came_from_both	136	NA
NZ_QRIV01000001.1	low_50M	came_itself	220148	71.1870310234896
NZ_QRIV01000001.1	low_5M	came_from_before	38374	NA
NZ_QRIV01000001.1	low_5M	came_from_both	24	NA
NZ_QRIV01000001.1	low_5M	came_itself	35310	11.3536746694723
NZ_QRJG01000001.1	high_10M	came_from_before	58	NA
NZ_QRJG01000001.1	high_10M	came_from_both	14545	NA
NZ_QRJG01000001.1	high_10M	came_from_donor	124	NA
NZ_QRJG01000001.1	high_10M	came_itself	1646	2.44663091799551
NZ_QRJG01000001.1	high_1M	came_from_before	2	NA
NZ_QRJG01000001.1	high_1M	came_from_both	15	NA
NZ_QRJG01000001.1	high_1M	came_from_donor	13	NA
NZ_QRJG01000001.1	high_1M	came_itself	262	0.149756297709842
NZ_QRJG01000001.1	high_25M	came_from_before	164	NA
NZ_QRJG01000001.1	high_25M	came_from_both	44809	NA
NZ_QRJG01000001.1	high_25M	came_from_donor	266	NA
NZ_QRJG01000001.1	high_25M	came_itself	4618	7.4821592654113
NZ_QRJG01000001.1	high_50M	came_from_before	126	NA
NZ_QRJG01000001.1	high_50M	came_from_both	102000	NA
NZ_QRJG01000001.1	high_50M	came_from_donor	831	NA
NZ_QRJG01000001.1	high_50M	came_itself	3224	5.7157770397178
NZ_QRJG01000001.1	high_5M	came_from_before	12	NA
NZ_QRJG01000001.1	high_5M	came_from_both	6078	NA
NZ_QRJG01000001.1	high_5M	came_from_donor	56	NA
NZ_QRJG01000001.1	high_5M	came_itself	1301	1.5578921022839
NZ_QRJH01000001.1	high_10M	came_from_before	2	1.04560753640966
NZ_QRJH01000001.1	high_10M	came_from_both	2700	1.04560753640966
NZ_QRJH01000001.1	high_10M	came_from_donor	1277	1.04560753640966
NZ_QRJH01000001.1	high_10M	came_itself	356	NA
NZ_QRJH01000001.1	high_1M	came_from_before	14	0.717105338430527
NZ_QRJH01000001.1	high_1M	came_from_both	31	0.717105338430527
NZ_QRJH01000001.1	high_1M	came_from_donor	25	0.717105338430527
NZ_QRJH01000001.1	high_1M	came_itself	3303	NA
NZ_QRJH01000001.1	high_25M	came_from_before	NA	6.75897339148382
NZ_QRJH01000001.1	high_25M	came_from_both	81660	6.75897339148382
NZ_QRJH01000001.1	high_25M	came_from_donor	NA	6.75897339148382
NZ_QRJH01000001.1	high_50M	came_from_before	NA	10.1029538271994
NZ_QRJH01000001.1	high_50M	came_from_both	123655	10.1029538271994
NZ_QRJH01000001.1	high_50M	came_from_donor	1217	10.1029538271994
NZ_QRJH01000001.1	high_5M	came_from_before	112	0.562428649108364
NZ_QRJH01000001.1	high_5M	came_from_both	4197	0.562428649108364
NZ_QRJH01000001.1	high_5M	came_from_donor	152	0.562428649108364
NZ_QRJH01000001.1	high_5M	came_itself	556	NA
NZ_QRJL01000001.1	high_10M	came_from_before	29	3.22263117514278
NZ_QRJL01000001.1	high_10M	came_from_both	38398	3.22263117514278
NZ_QRJL01000001.1	high_10M	came_from_donor	29	3.22263117514278
NZ_QRJL01000001.1	high_10M	came_itself	9	NA
NZ_QRJL01000001.1	high_1M	came_from_before	4	0.197405864150872
NZ_QRJL01000001.1	high_1M	came_from_both	61	0.197405864150872
NZ_QRJL01000001.1	high_1M	came_from_donor	95	0.197405864150872
NZ_QRJL01000001.1	high_1M	came_itself	885	NA
NZ_QRJL01000001.1	high_25M	came_from_before	53	3.55996276578222
NZ_QRJL01000001.1	high_25M	came_from_both	82621	3.55996276578222
NZ_QRJL01000001.1	high_25M	came_from_donor	17	3.55996276578222
NZ_QRJL01000001.1	high_25M	came_itself	7	NA
NZ_QRJL01000001.1	high_50M	came_from_before	2895	2.12600269445832
NZ_QRJL01000001.1	high_50M	came_from_both	219129	2.12600269445832
NZ_QRJL01000001.1	high_50M	came_from_donor	170	2.12600269445832
NZ_QRJL01000001.1	high_50M	came_itself	172	NA
NZ_QRJL01000001.1	high_5M	came_from_before	12	0.379973393665813
NZ_QRJL01000001.1	high_5M	came_from_both	6094	0.379973393665813
NZ_QRJL01000001.1	high_5M	came_from_donor	565	0.379973393665813
NZ_QRJL01000001.1	high_5M	came_itself	187	NA
NZ_QRJT01000001.1	high_10M	came_from_before	999	1.44289621227052
NZ_QRJT01000001.1	high_10M	came_from_both	32	1.44289621227052
NZ_QRJT01000001.1	high_10M	came_from_donor	14	1.44289621227052
NZ_QRJT01000001.1	high_10M	came_itself	1883	NA
NZ_QRJT01000001.1	high_1M	came_from_before	NA	0.339871365039504
NZ_QRJT01000001.1	high_1M	came_from_both	NA	0.339871365039504
NZ_QRJT01000001.1	high_1M	came_from_donor	4	0.339871365039504
NZ_QRJT01000001.1	high_1M	came_itself	6418	NA
NZ_QRJT01000001.1	high_25M	came_from_before	NA	4.68339141215261
NZ_QRJT01000001.1	high_25M	came_from_both	385	4.68339141215261
NZ_QRJT01000001.1	high_25M	came_from_donor	25844	4.68339141215261
NZ_QRJT01000001.1	high_25M	came_itself	317	NA
NZ_QRJT01000001.1	high_50M	came_from_before	NA	8.0638708777064
NZ_QRJT01000001.1	high_50M	came_from_both	142865	8.0638708777064
NZ_QRJT01000001.1	high_50M	came_from_donor	40	8.0638708777064
NZ_QRJT01000001.1	high_5M	came_from_before	88	0.147525122891559
NZ_QRJT01000001.1	high_5M	came_from_both	2	0.147525122891559
NZ_QRJT01000001.1	high_5M	came_from_donor	NA	0.147525122891559
NZ_QRJT01000001.1	high_5M	came_itself	636	NA
NZ_QRJV01000001.1	high_10M	came_from_before	658	NA
NZ_QRJV01000001.1	high_10M	came_from_both	41413	NA
NZ_QRJV01000001.1	high_10M	came_from_donor	222	4.77033306527516
NZ_QRJV01000001.1	high_10M	came_itself	1261	NA
NZ_QRJV01000001.1	high_1M	came_from_before	15	NA
NZ_QRJV01000001.1	high_1M	came_from_both	114	NA
NZ_QRJV01000001.1	high_1M	came_from_donor	34	0.320389341871368
NZ_QRJV01000001.1	high_1M	came_itself	408	NA
NZ_QRJV01000001.1	high_25M	came_from_before	1229	NA
NZ_QRJV01000001.1	high_25M	came_from_both	112994	NA
NZ_QRJV01000001.1	high_25M	came_from_donor	266	8.71581974059489
NZ_QRJV01000001.1	high_25M	came_itself	550	NA
NZ_QRJV01000001.1	high_50M	came_from_before	23005	NA
NZ_QRJV01000001.1	high_50M	came_from_both	477407	NA
NZ_QRJV01000001.1	high_50M	came_from_donor	6520	90.1433322271165
NZ_QRJV01000001.1	high_50M	came_itself	13641	NA
NZ_QRJV01000001.1	high_5M	came_from_before	26	NA
NZ_QRJV01000001.1	high_5M	came_from_both	13381	NA
NZ_QRJV01000001.1	high_5M	came_from_donor	91	0.133516581036347
NZ_QRJV01000001.1	high_5M	came_itself	226	NA
NZ_QRJY01000001.1	high_10M	came_from_before	26	3.68446145697571
NZ_QRJY01000001.1	high_10M	came_from_both	3	3.68446145697571
NZ_QRJY01000001.1	high_10M	came_from_donor	31	3.68446145697571
NZ_QRJY01000001.1	high_10M	came_itself	31196	NA
NZ_QRJY01000001.1	high_1M	came_from_before	NA	0.0902792664755773
NZ_QRJY01000001.1	high_1M	came_from_both	NA	0.0902792664755773
NZ_QRJY01000001.1	high_1M	came_from_donor	NA	0.0902792664755773
NZ_QRJY01000001.1	high_1M	came_itself	940	NA
NZ_QRJY01000001.1	high_25M	came_from_before	236	1.65888418486056
NZ_QRJY01000001.1	high_25M	came_from_both	80	1.65888418486056
NZ_QRJY01000001.1	high_25M	came_from_donor	30	1.65888418486056
NZ_QRJY01000001.1	high_25M	came_itself	1065	NA
NZ_QRJY01000001.1	high_50M	came_from_before	2538	4.92158956039789
NZ_QRJY01000001.1	high_50M	came_from_both	8102	4.92158956039789
NZ_QRJY01000001.1	high_50M	came_from_donor	NA	4.92158956039789
NZ_QRJY01000001.1	high_5M	came_from_before	2	0.629438776807161
NZ_QRJY01000001.1	high_5M	came_from_both	1	0.629438776807161
NZ_QRJY01000001.1	high_5M	came_from_donor	2	0.629438776807161
NZ_QRJY01000001.1	high_5M	came_itself	4422	NA
NZ_QRJZ01000001.1	high_10M	came_from_before	3581	0.786655130445383
NZ_QRJZ01000001.1	high_10M	came_from_both	717	NA
NZ_QRJZ01000001.1	high_10M	came_itself	11	0.786655130445383
NZ_QRJZ01000001.1	high_1M	came_from_before	NA	0.218179058419969
NZ_QRJZ01000001.1	high_1M	came_itself	2209	0.218179058419969
NZ_QRJZ01000001.1	high_25M	came_from_before	6440	1.66413257402581
NZ_QRJZ01000001.1	high_25M	came_from_both	11321	NA
NZ_QRJZ01000001.1	high_25M	came_from_donor	2	NA
NZ_QRJZ01000001.1	high_25M	came_itself	19	1.66413257402581
NZ_QRJZ01000001.1	high_50M	came_from_before	2279	3.74710831665113
NZ_QRJZ01000001.1	high_50M	came_from_both	12872	NA
NZ_QRJZ01000001.1	high_50M	came_from_donor	171	NA
NZ_QRJZ01000001.1	high_50M	came_itself	9174	3.74710831665113
NZ_QRJZ01000001.1	high_5M	came_from_before	494	1.03107987131487
NZ_QRJZ01000001.1	high_5M	came_from_both	48	NA
NZ_QRJZ01000001.1	high_5M	came_itself	5676	1.03107987131487
NZ_QRKO01000001.1	high_10M	came_from_before	344	NA
NZ_QRKO01000001.1	high_10M	came_from_both	988	NA
NZ_QRKO01000001.1	high_10M	came_from_donor	57	NA
NZ_QRKO01000001.1	high_10M	came_itself	11028	3.27351678188723
NZ_QRKO01000001.1	high_1M	came_from_before	2	NA
NZ_QRKO01000001.1	high_1M	came_itself	502	0.00272669342423574
NZ_QRKO01000001.1	high_25M	came_from_before	1217	NA
NZ_QRKO01000001.1	high_25M	came_from_both	14073	NA
NZ_QRKO01000001.1	high_25M	came_from_donor	1877	NA
NZ_QRKO01000001.1	high_25M	came_itself	12647	5.01101739351135
NZ_QRKO01000001.1	high_50M	came_from_before	4568	NA
NZ_QRKO01000001.1	high_50M	came_from_both	25576	NA
NZ_QRKO01000001.1	high_50M	came_from_donor	1753	NA
NZ_QRKO01000001.1	high_50M	came_itself	43908	17.0237925486148
NZ_QRKO01000001.1	high_5M	came_from_before	686	NA
NZ_QRKO01000001.1	high_5M	came_from_both	71	NA
NZ_QRKO01000001.1	high_5M	came_itself	1585	0.349623907893523
NZ_QRKY01000001.1	high_10M	came_from_before	594	NA
NZ_QRKY01000001.1	high_10M	came_from_both	3160	NA
NZ_QRKY01000001.1	high_10M	came_from_donor	257	2.32887812997495
NZ_QRKY01000001.1	high_10M	came_itself	4401	NA
NZ_QRKY01000001.1	high_1M	came_from_before	2	NA
NZ_QRKY01000001.1	high_1M	came_from_both	18	NA
NZ_QRKY01000001.1	high_1M	came_from_donor	25	0.624478093884175
NZ_QRKY01000001.1	high_1M	came_itself	3123	NA
NZ_QRKY01000001.1	high_25M	came_from_both	13046	NA
NZ_QRKY01000001.1	high_25M	came_from_donor	13219	5.62290437331553
NZ_QRKY01000001.1	high_25M	came_itself	11	NA
NZ_QRKY01000001.1	high_50M	came_from_before	166	NA
NZ_QRKY01000001.1	high_50M	came_from_both	31036	NA
NZ_QRKY01000001.1	high_50M	came_from_donor	7655	10.2855124647803
NZ_QRKY01000001.1	high_50M	came_itself	1454	NA
NZ_QRKY01000001.1	high_5M	came_from_before	159	NA
NZ_QRKY01000001.1	high_5M	came_from_both	462	NA
NZ_QRKY01000001.1	high_5M	came_from_donor	125	1.06045115456022
NZ_QRKY01000001.1	high_5M	came_itself	1302	NA
NZ_QRLA01000001.1	high_10M	came_from_before	1882	NA
NZ_QRLA01000001.1	high_10M	came_from_both	11833	NA
NZ_QRLA01000001.1	high_10M	came_from_donor	1563	4.17115273584842
NZ_QRLA01000001.1	high_10M	came_itself	615	NA
NZ_QRLA01000001.1	high_1M	came_from_before	5	NA
NZ_QRLA01000001.1	high_1M	came_from_both	43	NA
NZ_QRLA01000001.1	high_1M	came_from_donor	11	0.173223648120029
NZ_QRLA01000001.1	high_1M	came_itself	2398	NA
NZ_QRLA01000001.1	high_25M	came_from_before	3279	NA
NZ_QRLA01000001.1	high_25M	came_from_both	21902	NA
NZ_QRLA01000001.1	high_25M	came_from_donor	2773	9.83458404602172
NZ_QRLA01000001.1	high_25M	came_itself	1632	NA
NZ_QRLA01000001.1	high_50M	came_from_before	40	NA
NZ_QRLA01000001.1	high_50M	came_from_both	136833	NA
NZ_QRLA01000001.1	high_50M	came_from_donor	25356	17.2771270655957
NZ_QRLA01000001.1	high_50M	came_itself	19	NA
NZ_QRLA01000001.1	high_5M	came_from_before	609	NA
NZ_QRLA01000001.1	high_5M	came_from_both	1394	NA
NZ_QRLA01000001.1	high_5M	came_from_donor	43	5.06519436601605
NZ_QRLA01000001.1	high_5M	came_itself	19980	NA
NZ_QRLA01000001.1	low_10M	came_from_before	792	NA
NZ_QRLA01000001.1	low_10M	came_from_both	9978	NA
NZ_QRLA01000001.1	low_10M	came_from_donor	5780	2.79801299598039
