Sample	Mechanism	Hits
FAT_006-22-84-0_stay	Rifampin	1925
FAT_006-22-84-0_stay	Tetracyclines	5154
FAT_006-22-84-0_stay	betalactams	92
FAT_008-22-14-0_came_from_before	MLS	72
FAT_008-22-14-0_came_from_before	Tetracyclines	130
FAT_008-22-14-0_came_from_both	Aminoglycosides	254
FAT_008-22-14-0_came_from_both	Tetracyclines	9011
FAT_008-22-14-0_came_from_both	Trimethoprim	66
FAT_008-22-14-0_came_from_both	betalactams	1033
FAT_008-22-14-0_came_from_donor	Aminoglycosides	25
FAT_008-22-14-0_came_from_donor	MLS	55
FAT_008-22-14-0_came_from_donor	Tetracyclines	529
FAT_008-22-14-0_came_from_donor	betalactams	38
FAT_008-22-14-0_came_itself	Glycopeptides	78
FAT_008-22-14-0_gone	MLS	1282
FAT_008-22-14-0_gone	Rifampin	144
FAT_008-22-14-0_not_settle	Aminoglycosides	866
FAT_008-22-14-0_not_settle	Elfamycins	118
FAT_008-22-14-0_not_settle	Fluoroquinolones	244
FAT_008-22-14-0_not_settle	MLS	9700
FAT_008-22-14-0_not_settle	Phenicol	26
FAT_008-22-14-0_not_settle	Tetracyclines	1152
FAT_008-22-14-0_settle	Aminoglycosides	1238
FAT_008-22-14-0_settle	MLS	1549
FAT_008-22-14-0_settle	Multi-drug resistance	43
FAT_008-22-14-0_settle	Nucleosides	34
FAT_008-22-14-0_settle	Tetracyclines	35997
FAT_008-22-14-0_settle	Trimethoprim	538
FAT_008-22-14-0_settle	betalactams	364
FAT_008-22-14-0_stay	Aminoglycosides	232
FAT_008-22-14-0_stay	MLS	97
FAT_008-22-14-0_stay	Nucleosides	14
FAT_008-22-14-0_stay	Tetracyclines	6169
FAT_008-22-14-0_stay	Trimethoprim	22
FAT_008-22-14-0_stay	betalactams	1035
FAT_008-22-2-0_came_from_before	betalactams	0
FAT_008-22-2-0_came_from_both	Aminoglycosides	145
FAT_008-22-2-0_came_from_both	MLS	3307
FAT_008-22-2-0_came_from_both	Tetracyclines	8181
FAT_008-22-2-0_came_from_both	Trimethoprim	27
FAT_008-22-2-0_came_from_donor	Aminoglycosides	263
FAT_008-22-2-0_came_from_donor	MLS	19
FAT_008-22-2-0_came_from_donor	Tetracyclines	446
FAT_008-22-2-0_came_itself	Aminocoumarins	532
FAT_008-22-2-0_came_itself	Aminoglycosides	258
FAT_008-22-2-0_came_itself	Bacitracin	132
FAT_008-22-2-0_came_itself	Cationic antimicrobial peptides	467
FAT_008-22-2-0_came_itself	Elfamycins	259
FAT_008-22-2-0_came_itself	Fluoroquinolones	678
FAT_008-22-2-0_came_itself	Fosfomycin	755
FAT_008-22-2-0_came_itself	Glycopeptides	92
FAT_008-22-2-0_came_itself	MLS	763
FAT_008-22-2-0_came_itself	Multi-drug resistance	7227
FAT_008-22-2-0_came_itself	Rifampin	641
FAT_008-22-2-0_came_itself	Sulfonamides	64
FAT_008-22-2-0_came_itself	Tetracyclines	110
FAT_008-22-2-0_came_itself	Trimethoprim	77
FAT_008-22-2-0_came_itself	betalactams	585
FAT_008-22-2-0_gone	MLS	287
FAT_008-22-2-0_gone	Multi-drug resistance	34
FAT_008-22-2-0_gone	Rifampin	175
FAT_008-22-2-0_gone	Tetracyclines	223
FAT_008-22-2-0_gone	betalactams	1541
FAT_008-22-2-0_not_settle	Aminoglycosides	1180
FAT_008-22-2-0_not_settle	Elfamycins	141
FAT_008-22-2-0_not_settle	Fluoroquinolones	245
FAT_008-22-2-0_not_settle	MLS	2347
FAT_008-22-2-0_not_settle	Multi-drug resistance	85
FAT_008-22-2-0_not_settle	Tetracyclines	1031
FAT_008-22-2-0_not_settle	betalactams	28
FAT_008-22-2-0_settle	Aminoglycosides	1595
FAT_008-22-2-0_settle	MLS	33620
FAT_008-22-2-0_settle	Phenicol	222
FAT_008-22-2-0_settle	Tetracyclines	31312
FAT_008-22-2-0_settle	Trimethoprim	559
FAT_008-22-2-0_stay	Aminoglycosides	214
FAT_008-22-2-0_stay	MLS	5695
FAT_008-22-2-0_stay	Tetracyclines	5582
FAT_008-22-2-0_stay	Trimethoprim	20
FAT_008-22-42-0_came_from_before	betalactams	0
FAT_008-22-42-0_came_from_both	Aminoglycosides	200
FAT_008-22-42-0_came_from_both	MLS	3894
FAT_008-22-42-0_came_from_both	Tetracyclines	8101
FAT_008-22-42-0_came_from_both	Trimethoprim	11
FAT_008-22-42-0_came_from_both	betalactams	254
FAT_008-22-42-0_came_from_donor	MLS	59
FAT_008-22-42-0_came_from_donor	Tetracyclines	340
FAT_008-22-42-0_came_itself	MLS	115
FAT_008-22-42-0_came_itself	Tetracyclines	166
FAT_008-22-42-0_gone	MLS	153
FAT_008-22-42-0_gone	Rifampin	139
FAT_008-22-42-0_gone	betalactams	72
FAT_008-22-42-0_not_settle	Aminoglycosides	2018
FAT_008-22-42-0_not_settle	Elfamycins	135
FAT_008-22-42-0_not_settle	Fluoroquinolones	245
FAT_008-22-42-0_not_settle	MLS	3964
FAT_008-22-42-0_not_settle	Multi-drug resistance	72
FAT_008-22-42-0_not_settle	Tetracyclines	3453
FAT_008-22-42-0_settle	Aminoglycosides	1124
FAT_008-22-42-0_settle	MLS	31045
FAT_008-22-42-0_settle	Phenicol	105
FAT_008-22-42-0_settle	Tetracyclines	31315
FAT_008-22-42-0_settle	Trimethoprim	423
FAT_008-22-42-0_stay	Aminoglycosides	195
FAT_008-22-42-0_stay	MLS	6373
FAT_008-22-42-0_stay	Phenicol	22
FAT_008-22-42-0_stay	Tetracyclines	5966
FAT_008-22-42-0_stay	Trimethoprim	17
FAT_008-22-42-0_stay	betalactams	1027
FAT_008-22-84-0_came_from_before	betalactams	0
FAT_008-22-84-0_came_from_both	Aminoglycosides	50
FAT_008-22-84-0_came_from_both	MLS	2512
FAT_008-22-84-0_came_from_both	Tetracyclines	5594
FAT_008-22-84-0_came_from_both	Trimethoprim	12
FAT_008-22-84-0_came_from_donor	Tetracyclines	339
FAT_008-22-84-0_came_itself	betalactams	0
FAT_008-22-84-0_gone	MLS	694
FAT_008-22-84-0_gone	Rifampin	146
FAT_008-22-84-0_gone	Tetracyclines	311
FAT_008-22-84-0_gone	betalactams	375
FAT_008-22-84-0_not_settle	Aminoglycosides	2061
FAT_008-22-84-0_not_settle	Elfamycins	140
FAT_008-22-84-0_not_settle	Fluoroquinolones	245
FAT_008-22-84-0_not_settle	MLS	8759
FAT_008-22-84-0_not_settle	Multi-drug resistance	73
FAT_008-22-84-0_not_settle	Tetracyclines	3351
FAT_008-22-84-0_not_settle	betalactams	302
FAT_008-22-84-0_settle	Aminoglycosides	769
FAT_008-22-84-0_settle	MLS	12729
FAT_008-22-84-0_settle	Phenicol	60
FAT_008-22-84-0_settle	Tetracyclines	25757
FAT_008-22-84-0_settle	Trimethoprim	439
FAT_008-22-84-0_stay	Aminoglycosides	75
FAT_008-22-84-0_stay	MLS	2732
FAT_008-22-84-0_stay	Phenicol	20
FAT_008-22-84-0_stay	Tetracyclines	5697
FAT_008-22-84-0_stay	Trimethoprim	15
FAT_012-22-14-0_came_from_before	Aminoglycosides	243
FAT_012-22-14-0_came_from_before	MLS	371
FAT_012-22-14-0_came_from_before	Trimethoprim	27
FAT_012-22-14-0_came_from_both	Aminoglycosides	148
FAT_012-22-14-0_came_from_both	MLS	5648
FAT_012-22-14-0_came_from_both	Rifampin	348
FAT_012-22-14-0_came_from_both	Tetracyclines	24226
FAT_012-22-14-0_came_from_donor	betalactams	162
FAT_012-22-14-0_came_itself	Aminoglycosides	127
FAT_012-22-14-0_came_itself	MLS	191
FAT_012-22-14-0_came_itself	Phenicol	95
FAT_012-22-14-0_gone	Aminoglycosides	131
FAT_012-22-14-0_gone	Cationic antimicrobial peptides	72
FAT_012-22-14-0_gone	MLS	1066
FAT_012-22-14-0_gone	Multi-drug resistance	80
FAT_012-22-14-0_gone	Phenicol	12
FAT_012-22-14-0_gone	betalactams	138
FAT_012-22-14-0_not_settle	Aminoglycosides	72
FAT_012-22-14-0_not_settle	MLS	910
FAT_012-22-14-0_not_settle	Multi-drug resistance	43
FAT_012-22-14-0_not_settle	Mupirocin	225
FAT_012-22-14-0_not_settle	Phenicol	150
FAT_012-22-14-0_not_settle	Rifampin	230
FAT_012-22-14-0_not_settle	Tetracyclines	447
FAT_012-22-14-0_settle	Aminoglycosides	973
FAT_012-22-14-0_settle	MLS	12024
FAT_012-22-14-0_settle	Rifampin	549
FAT_012-22-14-0_settle	Tetracyclines	11193
FAT_012-22-14-0_settle	betalactams	202
FAT_012-22-14-0_stay	Aminoglycosides	593
FAT_012-22-14-0_stay	MLS	23700
FAT_012-22-14-0_stay	Rifampin	705
FAT_012-22-14-0_stay	Tetracyclines	32344
FAT_012-22-14-0_stay	Trimethoprim	40
FAT_012-22-14-0_stay	betalactams	21
FAT_012-22-2-0_came_from_before	Aminoglycosides	1504
FAT_012-22-2-0_came_from_before	Cationic antimicrobial peptides	474
FAT_012-22-2-0_came_from_before	MLS	1266
FAT_012-22-2-0_came_from_before	Tetracyclines	36
FAT_012-22-2-0_came_from_both	Aminoglycosides	200
FAT_012-22-2-0_came_from_both	MLS	2574
FAT_012-22-2-0_came_from_both	Rifampin	183
FAT_012-22-2-0_came_from_both	Tetracyclines	13531
FAT_012-22-2-0_came_from_both	betalactams	42
FAT_012-22-2-0_came_from_donor	MLS	77
FAT_012-22-2-0_came_from_donor	Tetracyclines	94
FAT_012-22-2-0_came_from_donor	betalactams	54
FAT_012-22-2-0_came_itself	Aminocoumarins	1723
FAT_012-22-2-0_came_itself	Aminoglycosides	540
FAT_012-22-2-0_came_itself	Bacitracin	342
FAT_012-22-2-0_came_itself	Cationic antimicrobial peptides	1574
FAT_012-22-2-0_came_itself	Elfamycins	428
FAT_012-22-2-0_came_itself	Fluoroquinolones	2405
FAT_012-22-2-0_came_itself	Fosfomycin	2353
FAT_012-22-2-0_came_itself	Lipopeptides	15
FAT_012-22-2-0_came_itself	MLS	1341
FAT_012-22-2-0_came_itself	Multi-drug resistance	26886
FAT_012-22-2-0_came_itself	Nucleosides	143
FAT_012-22-2-0_came_itself	Rifampin	2064
FAT_012-22-2-0_came_itself	Sulfonamides	344
FAT_012-22-2-0_came_itself	Trimethoprim	181
FAT_012-22-2-0_came_itself	betalactams	2358
FAT_012-22-2-0_gone	MLS	526
FAT_012-22-2-0_gone	Metronidazole	12
FAT_012-22-2-0_gone	Multi-drug resistance	16
FAT_012-22-2-0_gone	betalactams	242
FAT_012-22-2-0_not_settle	Aminoglycosides	42
FAT_012-22-2-0_not_settle	MLS	478
FAT_012-22-2-0_not_settle	Multi-drug resistance	42
FAT_012-22-2-0_not_settle	Mupirocin	121
FAT_012-22-2-0_not_settle	Rifampin	152
FAT_012-22-2-0_settle	Aminoglycosides	1127
FAT_012-22-2-0_settle	MLS	13681
FAT_012-22-2-0_settle	Rifampin	247
FAT_012-22-2-0_settle	Tetracyclines	11867
FAT_012-22-2-0_settle	betalactams	103
FAT_012-22-2-0_stay	Aminoglycosides	2404
FAT_012-22-2-0_stay	Cationic antimicrobial peptides	802
FAT_012-22-2-0_stay	MLS	23739
FAT_012-22-2-0_stay	Tetracyclines	31903
FAT_012-22-2-0_stay	Trimethoprim	44
FAT_012-22-42-0_came_from_before	Trimethoprim	41
FAT_012-22-42-0_came_from_both	Aminoglycosides	91
FAT_012-22-42-0_came_from_both	Tetracyclines	4964
FAT_012-22-42-0_came_from_donor	betalactams	0
FAT_012-22-42-0_came_itself	Aminoglycosides	22
FAT_012-22-42-0_came_itself	Phenicol	144
FAT_012-22-42-0_came_itself	betalactams	239
FAT_012-22-42-0_gone	Aminoglycosides	799
FAT_012-22-42-0_gone	Cationic antimicrobial peptides	123
FAT_012-22-42-0_gone	MLS	10295
FAT_012-22-42-0_gone	Metronidazole	16
FAT_012-22-42-0_gone	Multi-drug resistance	80
FAT_012-22-42-0_gone	Phenicol	28
FAT_012-22-42-0_gone	Rifampin	338
FAT_012-22-42-0_gone	Tetracyclines	1596
FAT_012-22-42-0_gone	betalactams	344
FAT_012-22-42-0_not_settle	MLS	1917
FAT_012-22-42-0_not_settle	Mupirocin	613
FAT_012-22-42-0_not_settle	Phenicol	145
FAT_012-22-42-0_not_settle	Rifampin	990
FAT_012-22-42-0_not_settle	Tetracyclines	879
FAT_012-22-42-0_not_settle	betalactams	277
FAT_012-22-42-0_settle	Aminoglycosides	937
FAT_012-22-42-0_settle	Tetracyclines	10091
FAT_012-22-42-0_stay	Aminoglycosides	130
FAT_012-22-42-0_stay	MLS	5887
FAT_012-22-42-0_stay	Tetracyclines	23304
FAT_012-22-42-0_stay	Trimethoprim	71
FAT_012-22-84-0_came_from_before	MLS	220
FAT_012-22-84-0_came_from_both	Aminoglycosides	390
FAT_012-22-84-0_came_from_both	MLS	2729
FAT_012-22-84-0_came_from_both	Rifampin	372
FAT_012-22-84-0_came_from_both	Tetracyclines	14470
FAT_012-22-84-0_came_from_donor	betalactams	324
FAT_012-22-84-0_came_itself	Aminoglycosides	93
FAT_012-22-84-0_came_itself	Elfamycins	32
FAT_012-22-84-0_gone	Aminoglycosides	129
FAT_012-22-84-0_gone	Cationic antimicrobial peptides	66
FAT_012-22-84-0_gone	MLS	1271
FAT_012-22-84-0_gone	Metronidazole	13
FAT_012-22-84-0_gone	Multi-drug resistance	78
FAT_012-22-84-0_gone	Phenicol	30
FAT_012-22-84-0_gone	Trimethoprim	68
FAT_012-22-84-0_gone	betalactams	206
FAT_012-22-84-0_not_settle	Aminoglycosides	65
FAT_012-22-84-0_not_settle	MLS	1536
FAT_012-22-84-0_not_settle	Multi-drug resistance	43
FAT_012-22-84-0_not_settle	Mupirocin	257
FAT_012-22-84-0_not_settle	Rifampin	285
FAT_012-22-84-0_not_settle	Tetracyclines	518
FAT_012-22-84-0_settle	Aminoglycosides	1164
FAT_012-22-84-0_settle	MLS	10791
FAT_012-22-84-0_settle	Phenicol	61
FAT_012-22-84-0_settle	Rifampin	684
FAT_012-22-84-0_settle	Tetracyclines	12310
FAT_012-22-84-0_settle	betalactams	233
FAT_012-22-84-0_stay	Aminoglycosides	159
FAT_012-22-84-0_stay	MLS	22240
FAT_012-22-84-0_stay	Rifampin	744
FAT_012-22-84-0_stay	Tetracyclines	31624
FAT_012-22-84-0_stay	betalactams	15
FAT_015-22-14-0_came_from_before	MLS	4479
FAT_015-22-14-0_came_from_before	Rifampin	988
FAT_015-22-14-0_came_from_before	Tetracyclines	6325
FAT_015-22-14-0_came_from_both	Aminoglycosides	522
FAT_015-22-14-0_came_from_both	MLS	7296
FAT_015-22-14-0_came_from_both	Tetracyclines	19538
FAT_015-22-14-0_came_from_both	Trimethoprim	103
FAT_015-22-14-0_came_from_donor	betalactams	0
FAT_015-22-14-0_came_itself	MLS	28
FAT_015-22-14-0_gone	Aminocoumarins	245
FAT_015-22-14-0_gone	Aminoglycosides	664
FAT_015-22-14-0_gone	Bacitracin	75
FAT_015-22-14-0_gone	Cationic antimicrobial peptides	224
FAT_015-22-14-0_gone	Elfamycins	135
FAT_015-22-14-0_gone	Fluoroquinolones	159
FAT_015-22-14-0_gone	Fosfomycin	451
FAT_015-22-14-0_gone	MLS	336
FAT_015-22-14-0_gone	Multi-drug resistance	2631
FAT_015-22-14-0_gone	Phenicol	22
FAT_015-22-14-0_gone	Sulfonamides	33
FAT_015-22-14-0_gone	Tetracyclines	454
FAT_015-22-14-0_gone	Trimethoprim	14
FAT_015-22-14-0_gone	betalactams	326
FAT_015-22-14-0_not_settle	Aminoglycosides	898
FAT_015-22-14-0_not_settle	Elfamycins	126
FAT_015-22-14-0_not_settle	Fluoroquinolones	239
FAT_015-22-14-0_not_settle	MLS	1727
FAT_015-22-14-0_not_settle	Multi-drug resistance	82
FAT_015-22-14-0_not_settle	Phenicol	301
FAT_015-22-14-0_not_settle	Tetracyclines	688
FAT_015-22-14-0_settle	Aminoglycosides	1445
FAT_015-22-14-0_settle	MLS	29254
FAT_015-22-14-0_settle	Nucleosides	40
FAT_015-22-14-0_settle	Tetracyclines	29832
FAT_015-22-14-0_settle	Trimethoprim	543
FAT_015-22-14-0_stay	Aminoglycosides	598
FAT_015-22-14-0_stay	Cationic antimicrobial peptides	305
FAT_015-22-14-0_stay	MLS	11468
FAT_015-22-14-0_stay	Rifampin	705
FAT_015-22-14-0_stay	Tetracyclines	19856
FAT_015-22-14-0_stay	Trimethoprim	221
FAT_015-22-14-0_stay	betalactams	30
FAT_015-22-2-0_came_from_before	MLS	1592
FAT_015-22-2-0_came_from_before	Rifampin	71
FAT_015-22-2-0_came_from_before	Tetracyclines	2609
FAT_015-22-2-0_came_from_both	Aminoglycosides	397
FAT_015-22-2-0_came_from_both	MLS	6880
FAT_015-22-2-0_came_from_both	Tetracyclines	19303
FAT_015-22-2-0_came_from_both	Trimethoprim	135
FAT_015-22-2-0_came_from_both	betalactams	452
FAT_015-22-2-0_came_from_donor	betalactams	0
FAT_015-22-2-0_came_itself	Aminocoumarins	74
FAT_015-22-2-0_came_itself	Fosfomycin	36
FAT_015-22-2-0_came_itself	Multi-drug resistance	287
FAT_015-22-2-0_gone	Aminocoumarins	203
FAT_015-22-2-0_gone	Aminoglycosides	611
FAT_015-22-2-0_gone	Bacitracin	37
FAT_015-22-2-0_gone	Cationic antimicrobial peptides	143
FAT_015-22-2-0_gone	Fluoroquinolones	120
FAT_015-22-2-0_gone	Fosfomycin	258
FAT_015-22-2-0_gone	MLS	139
FAT_015-22-2-0_gone	Multi-drug resistance	2379
FAT_015-22-2-0_gone	Phenicol	16
FAT_015-22-2-0_gone	Sulfonamides	31
FAT_015-22-2-0_gone	Tetracyclines	208
FAT_015-22-2-0_gone	betalactams	207
FAT_015-22-2-0_not_settle	Aminoglycosides	171
FAT_015-22-2-0_not_settle	Elfamycins	63
FAT_015-22-2-0_not_settle	Fluoroquinolones	210
FAT_015-22-2-0_not_settle	MLS	1395
FAT_015-22-2-0_not_settle	Tetracyclines	843
FAT_015-22-2-0_settle	Aminoglycosides	5950
FAT_015-22-2-0_settle	MLS	35014
FAT_015-22-2-0_settle	Phenicol	239
FAT_015-22-2-0_settle	Tetracyclines	37598
FAT_015-22-2-0_settle	Trimethoprim	576
FAT_015-22-2-0_settle	betalactams	378
FAT_015-22-2-0_stay	Aminoglycosides	2762
FAT_015-22-2-0_stay	Cationic antimicrobial peptides	407
FAT_015-22-2-0_stay	MLS	10897
FAT_015-22-2-0_stay	Tetracyclines	22527
FAT_015-22-2-0_stay	Trimethoprim	244
FAT_015-22-2-0_stay	betalactams	508
FAT_015-22-42-0_came_from_before	Elfamycins	50
FAT_015-22-42-0_came_from_before	MLS	2163
FAT_015-22-42-0_came_from_before	Multi-drug resistance	32
FAT_015-22-42-0_came_from_before	Rifampin	1998
FAT_015-22-42-0_came_from_before	Tetracyclines	3457
FAT_015-22-42-0_came_from_both	Aminoglycosides	446
FAT_015-22-42-0_came_from_both	MLS	7168
FAT_015-22-42-0_came_from_both	Tetracyclines	19133
FAT_015-22-42-0_came_from_both	Trimethoprim	96
FAT_015-22-42-0_came_from_donor	betalactams	0
FAT_015-22-42-0_came_itself	Aminoglycosides	74
FAT_015-22-42-0_came_itself	Cationic antimicrobial peptides	49
FAT_015-22-42-0_came_itself	Fosfomycin	40
FAT_015-22-42-0_came_itself	MLS	264
FAT_015-22-42-0_came_itself	Multi-drug resistance	1412
FAT_015-22-42-0_came_itself	Rifampin	259
FAT_015-22-42-0_came_itself	Tetracyclines	109
FAT_015-22-42-0_came_itself	betalactams	91
FAT_015-22-42-0_gone	Aminoglycosides	523
FAT_015-22-42-0_gone	Cationic antimicrobial peptides	48
FAT_015-22-42-0_gone	Fluoroquinolones	31
FAT_015-22-42-0_gone	MLS	404
FAT_015-22-42-0_gone	Multi-drug resistance	253
FAT_015-22-42-0_gone	Phenicol	28
FAT_015-22-42-0_gone	Tetracyclines	324
FAT_015-22-42-0_gone	betalactams	462
FAT_015-22-42-0_not_settle	Aminoglycosides	2010
FAT_015-22-42-0_not_settle	Elfamycins	140
FAT_015-22-42-0_not_settle	Fluoroquinolones	245
FAT_015-22-42-0_not_settle	MLS	7079
FAT_015-22-42-0_not_settle	Multi-drug resistance	85
FAT_015-22-42-0_not_settle	Phenicol	281
FAT_015-22-42-0_not_settle	Tetracyclines	1818
FAT_015-22-42-0_not_settle	betalactams	107
FAT_015-22-42-0_settle	Aminoglycosides	1228
FAT_015-22-42-0_settle	MLS	15263
FAT_015-22-42-0_settle	Tetracyclines	31572
FAT_015-22-42-0_settle	Trimethoprim	494
FAT_015-22-42-0_stay	Aminoglycosides	1886
FAT_015-22-42-0_stay	Bacitracin	14
FAT_015-22-42-0_stay	Cationic antimicrobial peptides	442
FAT_015-22-42-0_stay	Elfamycins	30
FAT_015-22-42-0_stay	Fosfomycin	90
FAT_015-22-42-0_stay	MLS	10488
FAT_015-22-42-0_stay	Multi-drug resistance	86
FAT_015-22-42-0_stay	Rifampin	826
