sample	gene_name	gene_length	width_cov	hits
SPB_T27_gone	caer:CSV91_03100	771	309	2
SPB_T27_gone	ccu:Ccur_04140	822	259	2
SPB_T27_gone	coo:CCU_23810	732	732	13
SPB_T27_gone	eel:EUBELI_01661	732	628	9
SPB_T27_gone	erb:A4V01_10500	744	231	2
SPB_T27_gone	ere:EUBREC_0088	732	472	3
SPB_T27_gone	rix:RO1_33970	732	572	9
SPB_T27_gone	rum:CK1_37040	747	660	28
SPB_T29_came_from_both	caer:CSV91_03100	771	748	56
SPB_T29_came_from_both	coo:CCU_23810	732	732	49
SPB_T29_came_from_both	eel:EUBELI_01661	732	732	38
SPB_T29_came_from_both	ere:EUBREC_0088	732	441	4
SPB_T29_came_from_both	rix:RO1_33970	732	724	24
SPB_T29_came_from_both	rum:CK1_37040	747	747	170
R02_W4_stay	coo:CCU_23810	732	500	4
R02_W4_stay	eel:EUBELI_01661	732	300	2
R02_W4_stay	ere:EUBREC_0088	732	151	1
R02_W4_stay	rix:RO1_33970	732	151	1
R02_W4_stay	rum:CK1_37040	747	661	12
R02_W4_settle	caer:CSV91_03100	771	672	24
R02_W4_settle	coo:CCU_23810	732	732	257
R02_W4_settle	eel:EUBELI_01661	732	732	291
R02_W4_settle	ere:EUBREC_0088	732	718	88
R02_W4_settle	rix:RO1_33970	732	732	225
R02_W4_settle	rum:CK1_37040	747	747	287
SPB_T36_stay	caer:CSV91_03100	771	336	4
SPB_T36_stay	coo:CCU_23810	732	732	223
SPB_T36_stay	eel:EUBELI_01661	732	732	232
SPB_T36_stay	ere:EUBREC_0088	732	721	105
SPB_T36_stay	rix:RO1_33970	732	732	311
SPB_T36_stay	rum:CK1_37040	747	747	316
FAT_020-22-2-0_came_itself	eel:EUBELI_01661	732	398	9
FAT_020-22-2-0_came_itself	rix:RO1_33970	732	113	3
FAT_020-22-2-0_came_itself	rum:CK1_37040	747	252	3
SPB_T23_came_from_donor	caer:CSV91_03100	771	124	1
FAT_020-22-84-0_stay	caer:CSV91_03100	771	770	157
FAT_020-22-84-0_stay	coo:CCU_23810	732	732	599
FAT_020-22-84-0_stay	eel:EUBELI_01661	732	732	612
FAT_020-22-84-0_stay	ere:EUBREC_0088	732	728	397
FAT_020-22-84-0_stay	rix:RO1_33970	732	732	713
FAT_020-22-84-0_stay	rum:CK1_37040	747	746	202
SPB_T30_came_from_both	caer:CSV91_03100	771	717	24
SPB_T30_came_from_both	coo:CCU_23810	732	732	85
SPB_T30_came_from_both	eel:EUBELI_01661	732	732	82
SPB_T30_came_from_both	ere:EUBREC_0088	732	579	14
SPB_T30_came_from_both	rix:RO1_33970	732	714	42
SPB_T30_came_from_both	rum:CK1_37040	747	747	127
SPB_T25_came_from_both	caer:CSV91_03100	771	696	24
SPB_T25_came_from_both	coo:CCU_23810	732	732	96
SPB_T25_came_from_both	eel:EUBELI_01661	732	732	89
SPB_T25_came_from_both	ere:EUBREC_0088	732	685	25
SPB_T25_came_from_both	rix:RO1_33970	732	732	86
SPB_T25_came_from_both	rum:CK1_37040	747	747	139
FAT_015-22-2-0_came_from_before	caer:CSV91_03100	771	162	2
FAT_020-22-2-0_settle	caer:CSV91_03100	771	588	18
FAT_020-22-2-0_settle	coo:CCU_23810	732	732	666
FAT_020-22-2-0_settle	eel:EUBELI_01661	732	732	576
FAT_020-22-2-0_settle	ere:EUBREC_0088	732	724	361
FAT_020-22-2-0_settle	rix:RO1_33970	732	732	661
FAT_020-22-2-0_settle	rum:CK1_37040	747	747	451
FAT_008-22-42-0_came_from_both	coo:CCU_23810	732	732	444
FAT_008-22-42-0_came_from_both	eel:EUBELI_01661	732	732	453
FAT_008-22-42-0_came_from_both	ere:EUBREC_0088	732	704	144
FAT_008-22-42-0_came_from_both	rix:RO1_33970	732	732	255
FAT_008-22-42-0_came_from_both	rum:CK1_37040	747	747	1128
FAT_020-22-42-0_came_itself	caer:CSV91_03100	771	274	4
FAT_020-22-42-0_came_itself	coo:CCU_23810	732	358	5
FAT_020-22-42-0_came_itself	eel:EUBELI_01661	732	88	1
FAT_020-22-42-0_came_itself	ere:EUBREC_0088	732	194	4
FAT_020-22-42-0_came_itself	rix:RO1_33970	732	388	6
FAT_020-22-42-0_came_itself	rum:CK1_37040	747	71	1
FAT_020-22-84-0_gone	caer:CSV91_03100	771	212	3
FAT_020-22-84-0_gone	coo:CCU_23810	732	363	5
FAT_020-22-84-0_gone	eel:EUBELI_01661	732	489	8
FAT_020-22-84-0_gone	rix:RO1_33970	732	239	4
FAT_020-22-84-0_gone	rum:CK1_37040	747	100	2
FAT_012-22-42-0_came_itself	caer:CSV91_03100	771	583	29
FAT_012-22-42-0_came_itself	coo:CCU_23810	732	418	6
FAT_012-22-42-0_came_itself	eel:EUBELI_01661	732	505	8
FAT_012-22-42-0_came_itself	erb:A4V01_10500	744	93	1
FAT_012-22-42-0_came_itself	ere:EUBREC_0088	732	312	4
FAT_012-22-42-0_came_itself	rix:RO1_33970	732	181	2
FAT_012-22-42-0_came_itself	rum:CK1_37040	747	579	28
FAT_006-22-2-0_stay	caer:CSV91_03100	771	127	5
FAT_006-22-2-0_stay	coo:CCU_23810	732	732	202
FAT_006-22-2-0_stay	eel:EUBELI_01661	732	732	173
FAT_006-22-2-0_stay	ere:EUBREC_0088	732	698	67
FAT_006-22-2-0_stay	rix:RO1_33970	732	730	123
FAT_006-22-2-0_stay	rum:CK1_37040	747	747	768
FAT_008-22-42-0_settle	caer:CSV91_03100	771	752	104
FAT_008-22-42-0_settle	coo:CCU_23810	732	732	2498
FAT_008-22-42-0_settle	eel:EUBELI_01661	732	732	2506
FAT_008-22-42-0_settle	ere:EUBREC_0088	732	732	789
FAT_008-22-42-0_settle	rix:RO1_33970	732	732	1208
FAT_008-22-42-0_settle	rum:CK1_37040	747	747	1944
FAT_020-22-14-0_came_itself	caer:CSV91_03100	771	292	6
FAT_020-22-14-0_came_itself	coo:CCU_23810	732	554	12
FAT_020-22-14-0_came_itself	eel:EUBELI_01661	732	516	18
FAT_020-22-14-0_came_itself	ere:EUBREC_0088	732	90	2
FAT_020-22-14-0_came_itself	rix:RO1_33970	732	363	10
FAT_020-22-14-0_came_itself	rum:CK1_37040	747	149	3
FAT_008-22-2-0_stay	coo:CCU_23810	732	732	172
FAT_008-22-2-0_stay	eel:EUBELI_01661	732	732	172
FAT_008-22-2-0_stay	ere:EUBREC_0088	732	720	70
FAT_008-22-2-0_stay	rix:RO1_33970	732	732	101
FAT_008-22-2-0_stay	rum:CK1_37040	747	747	1169
FAT_008-22-2-0_came_from_both	coo:CCU_23810	732	732	496
FAT_008-22-2-0_came_from_both	eel:EUBELI_01661	732	732	445
FAT_008-22-2-0_came_from_both	ere:EUBREC_0088	732	714	144
FAT_008-22-2-0_came_from_both	rix:RO1_33970	732	728	240
FAT_008-22-2-0_came_from_both	rum:CK1_37040	747	747	1684
FAT_015-22-14-0_not_settle	caer:CSV91_03100	771	64	1
FAT_015-22-14-0_not_settle	coo:CCU_23810	732	723	113
FAT_015-22-14-0_not_settle	eel:EUBELI_01661	732	711	95
FAT_015-22-14-0_not_settle	ele:Elen_1168	777	93	1
FAT_015-22-14-0_not_settle	erb:A4V01_10500	744	207	11
FAT_015-22-14-0_not_settle	ere:EUBREC_0088	732	711	97
FAT_015-22-14-0_not_settle	rix:RO1_33970	732	705	117
FAT_015-22-14-0_not_settle	rob:CK5_35830	720	458	13
FAT_015-22-14-0_not_settle	rum:CK1_37040	747	678	38
FAT_006-22-14-0_came_from_donor	rix:RO1_33970	732	180	2
FAT_012-22-84-0_came_from_donor	coo:CCU_23810	732	173	4
FAT_012-22-84-0_came_from_donor	eel:EUBELI_01661	732	183	2
SPB_T42_stay	coo:CCU_23810	732	732	59
SPB_T42_stay	eel:EUBELI_01661	732	732	62
SPB_T42_stay	ere:EUBREC_0088	732	672	21
SPB_T42_stay	rix:RO1_33970	732	732	103
SPB_T42_stay	rum:CK1_37040	747	746	135
R01_W4_came_from_donor	caer:CSV91_03100	771	771	128
FAT_015-22-14-0_came_from_before	caer:CSV91_03100	771	239	4
SPB_T36_came_from_both	coo:CCU_23810	732	730	111
SPB_T36_came_from_both	eel:EUBELI_01661	732	732	96
SPB_T36_came_from_both	ere:EUBREC_0088	732	696	17
SPB_T36_came_from_both	rix:RO1_33970	732	732	50
SPB_T36_came_from_both	rum:CK1_37040	747	747	39
FAT_006-22-42-0_came_from_donor	rix:RO1_33970	732	185	2
FAT_012-22-2-0_came_from_both	coo:CCU_23810	732	732	444
FAT_012-22-2-0_came_from_both	eel:EUBELI_01661	732	732	473
FAT_012-22-2-0_came_from_both	ere:EUBREC_0088	732	711	234
FAT_012-22-2-0_came_from_both	rix:RO1_33970	732	732	337
FAT_012-22-2-0_came_from_both	rum:CK1_37040	747	747	482
FAT_015-22-42-0_settle	caer:CSV91_03100	771	752	113
FAT_015-22-42-0_settle	coo:CCU_23810	732	732	2300
FAT_015-22-42-0_settle	eel:EUBELI_01661	732	732	2270
FAT_015-22-42-0_settle	ere:EUBREC_0088	732	726	624
FAT_015-22-42-0_settle	rix:RO1_33970	732	732	1186
FAT_015-22-42-0_settle	rum:CK1_37040	747	747	1789
SPB_T39_gone	acq:AM609_08260	1725	211	1
SPB_T39_gone	eel:EUBELI_01661	732	169	2
SPB_T39_gone	ele:Elen_1168	777	489	3
SPB_T39_gone	ere:EUBREC_0088	732	303	2
SPB_T39_gone	llk:LLKF_1297	729	214	2
SPB_T39_gone	rix:RO1_33970	732	222	2
SPB_T39_gone	rum:CK1_37040	747	228	2
FAT_006-22-14-0_stay	caer:CSV91_03100	771	541	19
FAT_006-22-14-0_stay	coo:CCU_23810	732	732	219
FAT_006-22-14-0_stay	eel:EUBELI_01661	732	732	194
FAT_006-22-14-0_stay	ere:EUBREC_0088	732	638	56
FAT_006-22-14-0_stay	rix:RO1_33970	732	732	122
FAT_006-22-14-0_stay	rum:CK1_37040	747	747	781
SPB_T33_not_settle	caer:CSV91_03100	771	771	36
SPB_T33_not_settle	coo:CCU_23810	732	443	8
SPB_T33_not_settle	eel:EUBELI_01661	732	636	11
SPB_T33_not_settle	ere:EUBREC_0088	732	494	6
SPB_T33_not_settle	rix:RO1_33970	732	453	7
SPB_T33_not_settle	rum:CK1_37040	747	540	5
FAT_012-22-84-0_came_from_both	coo:CCU_23810	732	732	714
FAT_012-22-84-0_came_from_both	eel:EUBELI_01661	732	732	677
FAT_012-22-84-0_came_from_both	ere:EUBREC_0088	732	723	402
FAT_012-22-84-0_came_from_both	rix:RO1_33970	732	732	628
FAT_012-22-84-0_came_from_both	rum:CK1_37040	747	747	583
FAT_015-22-14-0_settle	caer:CSV91_03100	771	703	78
FAT_015-22-14-0_settle	coo:CCU_23810	732	732	2346
FAT_015-22-14-0_settle	eel:EUBELI_01661	732	732	2370
FAT_015-22-14-0_settle	ere:EUBREC_0088	732	726	700
FAT_015-22-14-0_settle	rix:RO1_33970	732	732	1258
FAT_015-22-14-0_settle	rum:CK1_37040	747	747	1790
FAT_008-22-42-0_not_settle	caer:CSV91_03100	771	64	1
FAT_008-22-42-0_not_settle	coo:CCU_23810	732	696	91
FAT_008-22-42-0_not_settle	eel:EUBELI_01661	732	684	77
FAT_008-22-42-0_not_settle	ele:Elen_1168	777	93	1
FAT_008-22-42-0_not_settle	erb:A4V01_10500	744	207	11
FAT_008-22-42-0_not_settle	ere:EUBREC_0088	732	728	42
FAT_008-22-42-0_not_settle	rix:RO1_33970	732	714	94
FAT_008-22-42-0_not_settle	rum:CK1_37040	747	599	15
FAT_012-22-14-0_settle	caer:CSV91_03100	771	339	6
FAT_012-22-14-0_settle	coo:CCU_23810	732	732	547
FAT_012-22-14-0_settle	eel:EUBELI_01661	732	732	555
FAT_012-22-14-0_settle	ere:EUBREC_0088	732	721	254
FAT_012-22-14-0_settle	rix:RO1_33970	732	732	309
FAT_012-22-14-0_settle	rum:CK1_37040	747	747	539
FAT_020-22-42-0_stay	caer:CSV91_03100	771	541	17
FAT_020-22-42-0_stay	coo:CCU_23810	732	732	565
FAT_020-22-42-0_stay	eel:EUBELI_01661	732	732	618
FAT_020-22-42-0_stay	ere:EUBREC_0088	732	724	351
FAT_020-22-42-0_stay	rix:RO1_33970	732	732	703
FAT_020-22-42-0_stay	rum:CK1_37040	747	739	143
FAT_012-22-84-0_came_from_before	caer:CSV91_03100	771	617	31
FAT_012-22-84-0_came_from_before	coo:CCU_23810	732	244	4
FAT_012-22-84-0_came_from_before	rum:CK1_37040	747	119	5
SPB_T23_settle	coo:CCU_23810	732	732	165
SPB_T23_settle	eel:EUBELI_01661	732	732	161
SPB_T23_settle	ere:EUBREC_0088	732	502	22
SPB_T23_settle	rix:RO1_33970	732	732	77
SPB_T23_settle	rum:CK1_37040	747	747	104
FAT_020-22-42-0_came_from_donor	rum:CK1_37040	747	151	2
SPB_T39_came_itself	caer:CSV91_03100	771	265	5
SPB_T39_came_itself	rix:RO1_33970	732	348	3
SPB_T39_came_itself	rum:CK1_37040	747	176	3
FAT_015-22-2-0_gone	caer:CSV91_03100	771	521	45
FAT_015-22-2-0_gone	coo:CCU_23810	732	337	6
FAT_015-22-2-0_gone	eel:EUBELI_01661	732	181	3
FAT_015-22-2-0_gone	erb:A4V01_10500	744	164	8
FAT_015-22-2-0_gone	ere:EUBREC_0088	732	306	5
FAT_015-22-2-0_gone	psor:RSJ16_09125	723	73	1
FAT_015-22-2-0_gone	rix:RO1_33970	732	337	9
FAT_015-22-2-0_gone	rum:CK1_37040	747	484	14
R01_W4_came_itself	caer:CSV91_03100	771	769	41
R01_W4_came_itself	coo:CCU_23810	732	298	2
R01_W4_came_itself	rix:RO1_33970	732	151	1
R01_W4_came_itself	rum:CK1_37040	747	615	13
SPB_T33_gone	caer:CSV91_03100	771	469	6
SPB_T33_gone	coo:CCU_23810	732	639	9
SPB_T33_gone	eel:EUBELI_01661	732	181	2
SPB_T33_gone	ele:Elen_1168	777	568	8
SPB_T33_gone	erb:A4V01_10500	744	287	4
SPB_T33_gone	ere:EUBREC_0088	732	465	17
SPB_T33_gone	rix:RO1_33970	732	396	5
SPB_T33_gone	rob:CK5_35830	720	213	2
SPB_T33_gone	rum:CK1_37040	747	290	2
FAT_012-22-84-0_came_itself	caer:CSV91_03100	771	479	11
FAT_012-22-84-0_came_itself	coo:CCU_23810	732	390	7
FAT_012-22-84-0_came_itself	eel:EUBELI_01661	732	351	9
FAT_012-22-84-0_came_itself	ere:EUBREC_0088	732	499	8
FAT_012-22-84-0_came_itself	rix:RO1_33970	732	415	6
FAT_012-22-84-0_came_itself	rum:CK1_37040	747	735	23
SPB_T29_gone	ccu:Ccur_04140	822	259	2
SPB_T29_gone	coo:CCU_23810	732	610	12
SPB_T29_gone	eel:EUBELI_01661	732	601	13
SPB_T29_gone	erb:A4V01_10500	744	231	2
SPB_T29_gone	ere:EUBREC_0088	732	193	2
SPB_T29_gone	rix:RO1_33970	732	732	16
SPB_T29_gone	rum:CK1_37040	747	660	26
FAT_012-22-84-0_gone	caer:CSV91_03100	771	384	10
FAT_012-22-84-0_gone	coo:CCU_23810	732	378	5
FAT_012-22-84-0_gone	eel:EUBELI_01661	732	545	13
FAT_012-22-84-0_gone	erb:A4V01_10500	744	88	1
FAT_012-22-84-0_gone	ere:EUBREC_0088	732	425	5
FAT_012-22-84-0_gone	rix:RO1_33970	732	474	8
FAT_012-22-84-0_gone	rum:CK1_37040	747	746	34
R01_W4_settle	caer:CSV91_03100	771	769	84
R01_W4_settle	coo:CCU_23810	732	732	175
R01_W4_settle	eel:EUBELI_01661	732	732	211
R01_W4_settle	ere:EUBREC_0088	732	726	60
R01_W4_settle	rix:RO1_33970	732	732	123
R01_W4_settle	rum:CK1_37040	747	747	249
FAT_012-22-42-0_came_from_before	caer:CSV91_03100	771	186	2
R02_W4_came_from_both	coo:CCU_23810	732	645	87
R02_W4_came_from_both	eel:EUBELI_01661	732	637	89
R02_W4_came_from_both	ere:EUBREC_0088	732	632	42
R02_W4_came_from_both	rix:RO1_33970	732	556	60
R02_W4_came_from_both	rum:CK1_37040	747	747	137
FAT_006-22-14-0_came_itself	caer:CSV91_03100	771	210	4
FAT_006-22-14-0_came_itself	coo:CCU_23810	732	508	9
FAT_006-22-14-0_came_itself	eel:EUBELI_01661	732	392	12
FAT_006-22-14-0_came_itself	ere:EUBREC_0088	732	413	11
FAT_006-22-14-0_came_itself	rix:RO1_33970	732	492	8
FAT_006-22-14-0_came_itself	rum:CK1_37040	747	441	13
R02_W8_came_itself	coo:CCU_23810	732	679	12
R02_W8_came_itself	eel:EUBELI_01661	732	455	4
R02_W8_came_itself	ere:EUBREC_0088	732	309	3
R02_W8_came_itself	rix:RO1_33970	732	300	2
R02_W8_came_itself	rum:CK1_37040	747	545	4
FAT_006-22-2-0_came_from_donor	caer:CSV91_03100	771	88	1
FAT_006-22-2-0_came_from_donor	ere:EUBREC_0088	732	93	1
FAT_006-22-2-0_came_from_donor	rix:RO1_33970	732	84	1
FAT_006-22-2-0_came_from_donor	rum:CK1_37040	747	138	2
R01_W8_came_itself	caer:CSV91_03100	771	748	33
R01_W8_came_itself	coo:CCU_23810	732	151	1
R01_W8_came_itself	rix:RO1_33970	732	148	1
R01_W8_came_itself	rum:CK1_37040	747	710	16
FAT_020-22-42-0_came_from_before	caer:CSV91_03100	771	545	12
FAT_020-22-42-0_came_from_before	coo:CCU_23810	732	367	8
FAT_020-22-42-0_came_from_before	eel:EUBELI_01661	732	185	2
FAT_020-22-42-0_came_from_before	rix:RO1_33970	732	412	9
FAT_020-22-42-0_came_from_before	rum:CK1_37040	747	182	2
FAT_008-22-84-0_gone	caer:CSV91_03100	771	281	4
FAT_008-22-84-0_gone	coo:CCU_23810	732	254	5
FAT_008-22-84-0_gone	eel:EUBELI_01661	732	347	7
FAT_008-22-84-0_gone	ele:Elen_1168	777	334	6
FAT_008-22-84-0_gone	rix:RO1_33970	732	182	2
FAT_008-22-84-0_gone	rum:CK1_37040	747	574	21
SPB_T27_not_settle	caer:CSV91_03100	771	205	2
SPB_T27_not_settle	coo:CCU_23810	732	656	6
SPB_T27_not_settle	eel:EUBELI_01661	732	512	5
SPB_T27_not_settle	rix:RO1_33970	732	453	11
SPB_T27_not_settle	rum:CK1_37040	747	435	3
FAT_015-22-14-0_came_from_both	caer:CSV91_03100	771	281	13
FAT_015-22-14-0_came_from_both	coo:CCU_23810	732	732	414
FAT_015-22-14-0_came_from_both	eel:EUBELI_01661	732	732	393
FAT_015-22-14-0_came_from_both	ere:EUBREC_0088	732	715	212
FAT_015-22-14-0_came_from_both	rix:RO1_33970	732	732	325
FAT_015-22-14-0_came_from_both	rum:CK1_37040	747	747	627
SPB_T42_came_itself	caer:CSV91_03100	771	200	2
SPB_T42_came_itself	eel:EUBELI_01661	732	310	2
SPB_T42_came_itself	ere:EUBREC_0088	732	250	1
SPB_T42_came_itself	rum:CK1_37040	747	402	6
SPB_T41_not_settle	caer:CSV91_03100	771	446	36
SPB_T41_not_settle	coo:CCU_23810	732	623	8
SPB_T41_not_settle	eel:EUBELI_01661	732	517	6
SPB_T41_not_settle	ere:EUBREC_0088	732	266	4
SPB_T41_not_settle	rix:RO1_33970	732	353	4
SPB_T41_not_settle	rum:CK1_37040	747	540	5
SPB_T36_not_settle	caer:CSV91_03100	771	205	2
SPB_T36_not_settle	coo:CCU_23810	732	717	9
SPB_T36_not_settle	eel:EUBELI_01661	732	537	3
SPB_T36_not_settle	ere:EUBREC_0088	732	206	2
SPB_T36_not_settle	rix:RO1_33970	732	453	6
SPB_T36_not_settle	rum:CK1_37040	747	435	3
FAT_008-22-14-0_came_itself	caer:CSV91_03100	771	170	3
FAT_008-22-14-0_came_itself	coo:CCU_23810	732	239	4
FAT_008-22-14-0_came_itself	eel:EUBELI_01661	732	139	2
FAT_008-22-14-0_came_itself	ele:Elen_1168	777	141	2
FAT_008-22-14-0_came_itself	erb:A4V01_10500	744	519	16
FAT_008-22-14-0_came_itself	ere:EUBREC_0088	732	272	4
FAT_008-22-14-0_came_itself	rix:RO1_33970	732	248	4
FAT_008-22-14-0_came_itself	rob:CK5_35830	720	709	52
FAT_008-22-14-0_came_itself	rum:CK1_37040	747	634	14
FAT_006-22-14-0_settle	coo:CCU_23810	732	732	1900
FAT_006-22-14-0_settle	eel:EUBELI_01661	732	732	1769
FAT_006-22-14-0_settle	ere:EUBREC_0088	732	729	637
FAT_006-22-14-0_settle	rix:RO1_33970	732	732	1012
FAT_006-22-14-0_settle	rum:CK1_37040	747	747	1721
SPB_T35_stay	caer:CSV91_03100	771	336	4
SPB_T35_stay	coo:CCU_23810	732	732	198
SPB_T35_stay	eel:EUBELI_01661	732	732	187
SPB_T35_stay	ere:EUBREC_0088	732	698	92
SPB_T35_stay	rix:RO1_33970	732	732	335
SPB_T35_stay	rum:CK1_37040	747	747	317
SPB_T35_came_from_both	caer:CSV91_03100	771	177	2
SPB_T35_came_from_both	coo:CCU_23810	732	732	63
SPB_T35_came_from_both	eel:EUBELI_01661	732	732	82
SPB_T35_came_from_both	ere:EUBREC_0088	732	176	2
SPB_T35_came_from_both	rix:RO1_33970	732	707	28
SPB_T35_came_from_both	rum:CK1_37040	747	747	76
SPB_T41_gone	acq:AM609_08260	1725	211	1
SPB_T41_gone	caer:CSV91_03100	771	289	2
SPB_T41_gone	eel:EUBELI_01661	732	59	1
SPB_T41_gone	ele:Elen_1168	777	517	6
SPB_T41_gone	llk:LLKF_1297	729	214	2
SPB_T41_gone	rix:RO1_33970	732	244	1
SPB_T41_gone	rum:CK1_37040	747	228	2
FAT_008-22-84-0_settle	caer:CSV91_03100	771	614	34
FAT_008-22-84-0_settle	coo:CCU_23810	732	732	2137
FAT_008-22-84-0_settle	eel:EUBELI_01661	732	732	2219
FAT_008-22-84-0_settle	ere:EUBREC_0088	732	732	756
FAT_008-22-84-0_settle	rix:RO1_33970	732	732	1219
FAT_008-22-84-0_settle	rum:CK1_37040	747	747	1877
FAT_008-22-2-0_came_from_donor	caer:CSV91_03100	771	731	50
FAT_008-22-2-0_came_from_donor	coo:CCU_23810	732	626	47
FAT_008-22-2-0_came_from_donor	eel:EUBELI_01661	732	640	81
FAT_008-22-2-0_came_from_donor	ere:EUBREC_0088	732	607	34
FAT_008-22-2-0_came_from_donor	rix:RO1_33970	732	585	29
FAT_008-22-2-0_came_from_donor	rum:CK1_37040	747	427	14
FAT_008-22-84-0_came_from_donor	caer:CSV91_03100	771	467	11
FAT_008-22-84-0_came_from_donor	coo:CCU_23810	732	228	4
FAT_008-22-84-0_came_from_donor	eel:EUBELI_01661	732	429	9
FAT_008-22-84-0_came_from_donor	ere:EUBREC_0088	732	278	3
FAT_008-22-84-0_came_from_donor	rix:RO1_33970	732	329	5
FAT_008-22-84-0_came_from_donor	rum:CK1_37040	747	147	2
FAT_020-22-2-0_stay	coo:CCU_23810	732	732	443
FAT_020-22-2-0_stay	eel:EUBELI_01661	732	732	445
FAT_020-22-2-0_stay	ere:EUBREC_0088	732	729	290
FAT_020-22-2-0_stay	rix:RO1_33970	732	732	605
FAT_020-22-2-0_stay	rum:CK1_37040	747	746	134
FAT_020-22-2-0_came_from_donor	caer:CSV91_03100	771	610	16
FAT_020-22-2-0_came_from_donor	coo:CCU_23810	732	160	2
FAT_020-22-2-0_came_from_donor	rix:RO1_33970	732	153	2
FAT_020-22-2-0_came_from_donor	rum:CK1_37040	747	176	2
